Feature | ZeroRatio | Unique | Min | 5% | 50% | 95% | 99% | Max | Skew
bwd_syn_flag_counts | 0.76 | 43 | 0.0 | 0.0 | 0.0 | 1.0 | 1.0 | 50.0 | 21.87
bwd_rst_flag_counts | 0.65 | 2 | 0.0 | 0.0 | 0.0 | 1.0 | 1.0 | 1.0 | 0.64
syn_flag_percentage_in_total | 0.20 | 1843 | 0.0 | 0.0 | 0.5 | 1.0 | 1.0 | 1.0 | -0.11
ack_flag_percentage_in_total | 0.50 | 1930 | 0.0 | 0.0 | 0.3 | 1.0 | 1.0 | 1.0 | 0.51
rst_flag_percentage_in_total | 0.47 | 371 | 0.0 | 0.0 | 0.1 | 1.0 | 1.0 | 1.0 | 1.17
fwd_syn_flag_percentage_in_total | 0.21 | 1897 | 0.0 | 0.0 | 0.5 | 1.0 | 1.0 | 1.0 | -0.00
fwd_ack_flag_percentage_in_total | 0.77 | 3391 | 0.0 | 0.0 | 0.0 | 0.5 | 1.0 | 1.0 | 1.94
fwd_rst_flag_percentage_in_total | 0.81 | 330 | 0.0 | 0.0 | 0.0 | 1.0 | 1.0 | 1.0 | 2.76
bwd_ack_flag_percentage_in_total | 0.53 | 3436 | 0.0 | 0.0 | 0.0 | 0.7 | 1.0 | 1.0 | 0.85
bwd_rst_flag_percentage_in_total | 0.65 | 152 | 0.0 | 0.0 | 0.0 | 0.5 | 1.0 | 1.0 | 1.74
fwd_psh_flag_percentage_in_fwd_packets | 0.81 | 2454 | 0.0 | 0.0 | 0.0 | 0.7 | 0.7 | 1.0 | 1.83
fwd_syn_flag_percentage_in_fwd_packets | 0.21 | 1381 | 0.0 | 0.0 | 1.0 | 1.0 | 1.0 | 1.0 | -0.40
fwd_ack_flag_percentage_in_fwd_packets | 0.77 | 1383 | 0.0 | 0.0 | 0.0 | 0.9 | 1.0 | 1.0 | 1.34
bwd_syn_flag_percentage_in_bwd_packets | 0.76 | 1431 | 0.0 | 0.0 | 0.0 | 0.5 | 0.5 | 1.0 | 3.80
bwd_rst_flag_percentage_in_bwd_packets | 0.65 | 102 | 0.0 | 0.0 | 0.0 | 1.0 | 1.0 | 1.0 | 1.17
packets_IAT_mean | 0.07 | 245814 | 0.0 | 0.0 | 7.7 | 1702917462.4 | 1703005249.6 | 1703023203.4 | 0.00
packet_IAT_std | 0.73 | 31883 | 0.0 | 0.0 | 0.0 | 1.1 | 11.2 | 129.9 | 20.10
packet_IAT_max | 0.00 | 425819 | 0.0 | 0.0 | 83.7 | 1702917462.4 | 1703005249.6 | 1703023203.4 | 0.00
packet_IAT_min | 0.05 | 332624 | -0.0 | 0.0 | 6.0 | 1702917462.4 | 1703005249.6 | 1703023203.4 | 0.00
packets_IAT_median | 0.08 | 228318 | 0.0 | 0.0 | 6.0 | 1702917462.4 | 1703005249.6 | 1703023203.4 | 0.00
fwd_packets_IAT_mean | 0.14 | 311848 | 0.0 | 0.0 | 1702739238.2 | 1702997685.6 | 1703017806.6 | 1703023203.4 | -0.38
fwd_packets_IAT_max | 0.09 | 490033 | 0.0 | 0.0 | 1702739238.2 | 1702997685.6 | 1703017806.6 | 1703023203.4 | -0.38
bwd_packets_IAT_mean | 0.56 | 149819 | 0.0 | 0.0 | 0.0 | 1702930137.2 | 1703016355.8 | 1703023203.4 | 1.39
bwd_packets_IAT_max | 0.52 | 237501 | 0.0 | 0.0 | 0.0 | 1702930137.2 | 1703016355.8 | 1703023203.4 | 1.39
handshake_duration | 0.81 | 4065 | 0.0 | 0.0 | 0.0 | 0.2 | 0.3 | 15.1 | 58.54
handshake_state | 0.20 | 4 | 0.0 | 0.0 | 1.0 | 3.0 | 3.0 | 3.0 | 0.91
max_bwd_packets_delta_time | 0.74 | 86915 | 0.0 | 0.0 | 0.0 | 960.3 | 974.9 | 1000.0 | 2.20
mean_packets_delta_time | 0.50 | 127904 | 0.0 | 0.0 | 0.0 | 119.4 | 175.3 | 1000.0 | 3.84
std_packets_delta_time | 0.67 | 115802 | 0.0 | 0.0 | 0.0 | 226.5 | 256.8 | 500.0 | 2.16
median_packets_delta_time | 0.50 | 69177 | 0.0 | 0.0 | 0.0 | 70.9 | 116.9 | 1000.0 | 11.26
mean_bwd_packets_delta_time | 0.74 | 121985 | 0.0 | 0.0 | 0.0 | 264.7 | 346.4 | 1000.0 | 2.26
mode_bwd_packets_delta_time | 0.77 | 28824 | 0.0 | 0.0 | 0.0 | 111.0 | 154.4 | 1000.0 | 5.13
median_bwd_packets_delta_time | 0.74 | 88580 | 0.0 | 0.0 | 0.0 | 207.6 | 273.1 | 1000.0 | 2.92
max_fwd_packets_delta_time | 0.69 | 108324 | 0.0 | 0.0 | 0.0 | 528.2 | 963.3 | 1000.0 | 3.25
mean_fwd_packets_delta_time | 0.69 | 123515 | 0.0 | 0.0 | 0.0 | 209.0 | 307.5 | 999.9 | 3.45
mode_bwd_packets_delta_len | 0.84 | 599 | -1460.0 | -795.0 | 0.0 | 0.0 | 6.0 | 1460.0 | -3.24
std_bwd_packets_delta_len | 0.81 | 13245 | 0.0 | 0.0 | 0.0 | 493.2 | 703.3 | 1340.0 | 2.52
mode_fwd_packets_delta_len | 0.83 | 648 | -1460.0 | -622.0 | 0.0 | 0.0 | 0.0 | 1442.0 | -2.48
min_header_bytes_delta_len | 0.68 | 12 | -36.0 | -12.0 | 0.0 | 0.0 | 0.0 | 20.0 | -1.41
max_header_bytes_delta_len | 0.88 | 13 | -24.0 | -4.0 | 0.0 | 0.0 | 12.0 | 36.0 | 0.70
std_fwd_header_bytes_delta_len | 0.81 | 1480 | 0.0 | 0.0 | 0.0 | 4.5 | 7.2 | 12.0 | 2.10
mode_fwd_payload_bytes_delta_len | 0.89 | 439 | -1460.0 | -620.0 | 0.0 | 0.0 | 0.0 | 1368.0 | -2.78
syn_per_packet | 0.20 | 2071 | 0.0 | 0.0 | 0.5 | 1.0 | 1.0 | 1.0 | -0.11
iat_x_rate | 0.57 | 141124 | 0.0 | 0.0 | 0.0 | 2.3 | 2.9 | 4.0 | 0.90
bwd_fwd_ratio | 0.00 | 4307 | 0.0 | 0.0 | 0.0 | 1000000001.0 | 2000000001.0 | 3000000001.0 | 3.36
syn_no_fin | 0.23 | 47 | 0.0 | 0.0 | 1.0 | 3.0 | 5.0 | 57.0 | 8.60
bytes_per_packet | 0.00 | 142466 | 0.0 | 0.0 | 1.0 | 155.6 | 373.1 | 1411.8 | 5.96
